phase,label,overrides,program,result,commits,cycles,ipc,redirects,icache_hit,icache_miss,dcache_hit,dcache_miss,study_geomean,big6_geomean
BASELINE,BASELINE,{},branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
BASELINE,BASELINE,{},custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
BASELINE,BASELINE,{},riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
BASELINE,BASELINE,{},ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
BASELINE,BASELINE,{},matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
BASELINE,BASELINE,{},mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
BASELINE,BASELINE,{},mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ROB_DEPTH=16,"{""ROB_DEPTH"": 16}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ROB_DEPTH=16,"{""ROB_DEPTH"": 16}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ROB_DEPTH=16,"{""ROB_DEPTH"": 16}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ROB_DEPTH=16,"{""ROB_DEPTH"": 16}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ROB_DEPTH=16,"{""ROB_DEPTH"": 16}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ROB_DEPTH=16,"{""ROB_DEPTH"": 16}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ROB_DEPTH=16,"{""ROB_DEPTH"": 16}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ROB_DEPTH=32,"{""ROB_DEPTH"": 32}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ROB_DEPTH=32,"{""ROB_DEPTH"": 32}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ROB_DEPTH=32,"{""ROB_DEPTH"": 32}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ROB_DEPTH=32,"{""ROB_DEPTH"": 32}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ROB_DEPTH=32,"{""ROB_DEPTH"": 32}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ROB_DEPTH=32,"{""ROB_DEPTH"": 32}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ROB_DEPTH=32,"{""ROB_DEPTH"": 32}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ROB_DEPTH=64,"{""ROB_DEPTH"": 64}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ROB_DEPTH=64,"{""ROB_DEPTH"": 64}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ROB_DEPTH=64,"{""ROB_DEPTH"": 64}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ROB_DEPTH=64,"{""ROB_DEPTH"": 64}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ROB_DEPTH=64,"{""ROB_DEPTH"": 64}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ROB_DEPTH=64,"{""ROB_DEPTH"": 64}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ROB_DEPTH=64,"{""ROB_DEPTH"": 64}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ROB_DEPTH=128,"{""ROB_DEPTH"": 128}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ROB_DEPTH=128,"{""ROB_DEPTH"": 128}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ROB_DEPTH=128,"{""ROB_DEPTH"": 128}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ROB_DEPTH=128,"{""ROB_DEPTH"": 128}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ROB_DEPTH=128,"{""ROB_DEPTH"": 128}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ROB_DEPTH=128,"{""ROB_DEPTH"": 128}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ROB_DEPTH=128,"{""ROB_DEPTH"": 128}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/RS_DEPTH=16,"{""RS_DEPTH"": 16}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/RS_DEPTH=16,"{""RS_DEPTH"": 16}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/RS_DEPTH=16,"{""RS_DEPTH"": 16}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/RS_DEPTH=16,"{""RS_DEPTH"": 16}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/RS_DEPTH=16,"{""RS_DEPTH"": 16}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/RS_DEPTH=16,"{""RS_DEPTH"": 16}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/RS_DEPTH=16,"{""RS_DEPTH"": 16}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/RS_DEPTH=32,"{""RS_DEPTH"": 32}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/RS_DEPTH=32,"{""RS_DEPTH"": 32}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/RS_DEPTH=32,"{""RS_DEPTH"": 32}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/RS_DEPTH=32,"{""RS_DEPTH"": 32}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/RS_DEPTH=32,"{""RS_DEPTH"": 32}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/RS_DEPTH=32,"{""RS_DEPTH"": 32}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/RS_DEPTH=32,"{""RS_DEPTH"": 32}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/RS_DEPTH=64,"{""RS_DEPTH"": 64}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/RS_DEPTH=64,"{""RS_DEPTH"": 64}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/RS_DEPTH=64,"{""RS_DEPTH"": 64}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/RS_DEPTH=64,"{""RS_DEPTH"": 64}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/RS_DEPTH=64,"{""RS_DEPTH"": 64}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/RS_DEPTH=64,"{""RS_DEPTH"": 64}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/RS_DEPTH=64,"{""RS_DEPTH"": 64}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/RS_DEPTH=128,"{""RS_DEPTH"": 128}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/RS_DEPTH=128,"{""RS_DEPTH"": 128}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/RS_DEPTH=128,"{""RS_DEPTH"": 128}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/RS_DEPTH=128,"{""RS_DEPTH"": 128}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/RS_DEPTH=128,"{""RS_DEPTH"": 128}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/RS_DEPTH=128,"{""RS_DEPTH"": 128}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/RS_DEPTH=128,"{""RS_DEPTH"": 128}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=16,"{""LSQ_DEPTH"": 16}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=16,"{""LSQ_DEPTH"": 16}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=16,"{""LSQ_DEPTH"": 16}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=16,"{""LSQ_DEPTH"": 16}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=16,"{""LSQ_DEPTH"": 16}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=16,"{""LSQ_DEPTH"": 16}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=16,"{""LSQ_DEPTH"": 16}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=32,"{""LSQ_DEPTH"": 32}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=32,"{""LSQ_DEPTH"": 32}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=32,"{""LSQ_DEPTH"": 32}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=32,"{""LSQ_DEPTH"": 32}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=32,"{""LSQ_DEPTH"": 32}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=32,"{""LSQ_DEPTH"": 32}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=32,"{""LSQ_DEPTH"": 32}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=64,"{""LSQ_DEPTH"": 64}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=64,"{""LSQ_DEPTH"": 64}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=64,"{""LSQ_DEPTH"": 64}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=64,"{""LSQ_DEPTH"": 64}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=64,"{""LSQ_DEPTH"": 64}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=64,"{""LSQ_DEPTH"": 64}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/LSQ_DEPTH=64,"{""LSQ_DEPTH"": 64}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=8,"{""IFQ_DEPTH"": 8}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=8,"{""IFQ_DEPTH"": 8}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=8,"{""IFQ_DEPTH"": 8}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=8,"{""IFQ_DEPTH"": 8}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=8,"{""IFQ_DEPTH"": 8}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=8,"{""IFQ_DEPTH"": 8}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=8,"{""IFQ_DEPTH"": 8}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=16,"{""IFQ_DEPTH"": 16}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=16,"{""IFQ_DEPTH"": 16}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=16,"{""IFQ_DEPTH"": 16}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=16,"{""IFQ_DEPTH"": 16}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=16,"{""IFQ_DEPTH"": 16}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=16,"{""IFQ_DEPTH"": 16}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=16,"{""IFQ_DEPTH"": 16}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=32,"{""IFQ_DEPTH"": 32}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=32,"{""IFQ_DEPTH"": 32}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=32,"{""IFQ_DEPTH"": 32}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=32,"{""IFQ_DEPTH"": 32}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=32,"{""IFQ_DEPTH"": 32}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=32,"{""IFQ_DEPTH"": 32}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=32,"{""IFQ_DEPTH"": 32}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=64,"{""IFQ_DEPTH"": 64}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=64,"{""IFQ_DEPTH"": 64}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=64,"{""IFQ_DEPTH"": 64}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=64,"{""IFQ_DEPTH"": 64}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=64,"{""IFQ_DEPTH"": 64}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=64,"{""IFQ_DEPTH"": 64}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/IFQ_DEPTH=64,"{""IFQ_DEPTH"": 64}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=4,"{""STORE_BUF_DEPTH"": 4}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=4,"{""STORE_BUF_DEPTH"": 4}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=4,"{""STORE_BUF_DEPTH"": 4}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=4,"{""STORE_BUF_DEPTH"": 4}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=4,"{""STORE_BUF_DEPTH"": 4}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=4,"{""STORE_BUF_DEPTH"": 4}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=4,"{""STORE_BUF_DEPTH"": 4}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=8,"{""STORE_BUF_DEPTH"": 8}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=8,"{""STORE_BUF_DEPTH"": 8}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=8,"{""STORE_BUF_DEPTH"": 8}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=8,"{""STORE_BUF_DEPTH"": 8}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=8,"{""STORE_BUF_DEPTH"": 8}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=8,"{""STORE_BUF_DEPTH"": 8}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=8,"{""STORE_BUF_DEPTH"": 8}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=16,"{""STORE_BUF_DEPTH"": 16}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=16,"{""STORE_BUF_DEPTH"": 16}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=16,"{""STORE_BUF_DEPTH"": 16}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=16,"{""STORE_BUF_DEPTH"": 16}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=16,"{""STORE_BUF_DEPTH"": 16}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=16,"{""STORE_BUF_DEPTH"": 16}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=16,"{""STORE_BUF_DEPTH"": 16}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=32,"{""STORE_BUF_DEPTH"": 32}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=32,"{""STORE_BUF_DEPTH"": 32}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=32,"{""STORE_BUF_DEPTH"": 32}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=32,"{""STORE_BUF_DEPTH"": 32}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=32,"{""STORE_BUF_DEPTH"": 32}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=32,"{""STORE_BUF_DEPTH"": 32}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/STORE_BUF_DEPTH=32,"{""STORE_BUF_DEPTH"": 32}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/CDB_WIDTH=2,"{""CDB_WIDTH"": 2}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/CDB_WIDTH=2,"{""CDB_WIDTH"": 2}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/CDB_WIDTH=2,"{""CDB_WIDTH"": 2}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3104,26,0.522264,0.539857
OAT,OAT/CDB_WIDTH=2,"{""CDB_WIDTH"": 2}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/CDB_WIDTH=2,"{""CDB_WIDTH"": 2}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/CDB_WIDTH=2,"{""CDB_WIDTH"": 2}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/CDB_WIDTH=2,"{""CDB_WIDTH"": 2}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/CDB_WIDTH=3,"{""CDB_WIDTH"": 3}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/CDB_WIDTH=3,"{""CDB_WIDTH"": 3}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/CDB_WIDTH=3,"{""CDB_WIDTH"": 3}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/CDB_WIDTH=3,"{""CDB_WIDTH"": 3}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/CDB_WIDTH=3,"{""CDB_WIDTH"": 3}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/CDB_WIDTH=3,"{""CDB_WIDTH"": 3}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/CDB_WIDTH=3,"{""CDB_WIDTH"": 3}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/CDB_WIDTH=4,"{""CDB_WIDTH"": 4}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/CDB_WIDTH=4,"{""CDB_WIDTH"": 4}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/CDB_WIDTH=4,"{""CDB_WIDTH"": 4}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/CDB_WIDTH=4,"{""CDB_WIDTH"": 4}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/CDB_WIDTH=4,"{""CDB_WIDTH"": 4}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/CDB_WIDTH=4,"{""CDB_WIDTH"": 4}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/CDB_WIDTH=4,"{""CDB_WIDTH"": 4}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/CDB_WIDTH=6,"{""CDB_WIDTH"": 6}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/CDB_WIDTH=6,"{""CDB_WIDTH"": 6}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/CDB_WIDTH=6,"{""CDB_WIDTH"": 6}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/CDB_WIDTH=6,"{""CDB_WIDTH"": 6}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/CDB_WIDTH=6,"{""CDB_WIDTH"": 6}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/CDB_WIDTH=6,"{""CDB_WIDTH"": 6}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/CDB_WIDTH=6,"{""CDB_WIDTH"": 6}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/NUM_ALU=1,"{""NUM_ALU"": 1}",branch,PASS,8200,19155,0.428087,540,3613,3,0,0,0.522157,0.539733
OAT,OAT/NUM_ALU=1,"{""NUM_ALU"": 1}",custom_riscv,PASS,12906,26156,0.493424,48,5194,8,5132,26,0.522157,0.539733
OAT,OAT/NUM_ALU=1,"{""NUM_ALU"": 1}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522157,0.539733
